,url,description
0,https://www.kinonews.ru/movie_1031/avatar,"Бывший десантник Джейк Салли получает предложение отправиться на далекую планету Пандора, где добывается редкий минерал. Проблема в том, что Джейк не может ходить после тяжелого ранения. Но ее удается решить за счет так называемого Аватара - клона наделенного необходимыми для выживания на негостеприимной планете качествами, которым можно управлять посредством специального интерфейса. Прибыв на Пандору, Джейк все больше погружается в ее жизнь, и через некоторое время понимает, что чужая планета и формы жизни стали для него важнее дома. К тому же, случай свел его с прекрасной туземкой. Ему придется сделать выбор: отказаться от прежней жизни и принять участие в борьбе с людской экспансией, или вернуть назад и оставить свою любовь и возможность ходить."
1,https://www.kinonews.ru/movie_207321/avengers-3-part-ii,"Танос завладел всеми Камнями бесконечности. Половина всех разумных существ в Галактике уничтожена им по щелчку пальцев, как и половина супергероев из команды Мстителей. Грядет финальная битва, но силы очень не равны. Оставшиеся члены команды Мстителей это понимают, и поэтому готовят тщательно продуманный план сражения..."
2,https://www.kinonews.ru/movie_1025/titanic,"Бедный художник Джек, случайно попав на борт ""Титаника"", влюбляется в богатую аристократку Роуз. Она отвечает ему взаимностью. Но вдруг роскошный лайнер сталкивается с айсбергом.Почти весь реквизит для фильма - от ковров до канделябров - делался либо самими компаниями, которые обустраивали реальный ""Титаник"", либо под их чутким руководством."
3,https://www.kinonews.ru/movie_134104/star-wars-episode-vii,"Седьмая часть культовой фантастической саги Джорджа Лукаса. Действие картины разворачивается спустя 30 лет после событий, описанных в «Звездные войны: Эпизод 6 - Возвращение Джедая» (1983).Генерал Лея отправляет своего лучшего пилота на поиски пропавшего Люка Скайуокера. Ключ к тайне исчезновения ее брата находится на удаленной планете. Но джедая ищет не только Лея, но и зловещий Первый Орден, созданный на развалинах Империи."
4,https://www.kinonews.ru/movie_207320/avengers-3-part-i,"Мстители и Стражи Галактики объединяются, чтобы противостоять Таносу, стремящемуся завладеть оставшимися Камнями Бесконечности и получить безграничную власть над Галактикой."
5,https://www.kinonews.ru/movie_103395/jurassic-park-iv,"Через 20 лет после событий в первом фильме, парк динозавров на острове Исла-Нублар полностью функционирует, как и мечтал его создатель Джон Хэммонд."
6,https://www.kinonews.ru/movie_257799/the-lion-king,"Проект основан на одноименном анимационном фильме ""Король лев"", выпущенным студией Дисней в 1994 году и завоевавшим множество престижных наград."
7,https://www.kinonews.ru/movie_21145/avengers-assemble,"Для борьбы с ужасным злом известные супергерои, такие как Железный человек, Тор, Халк и многие другие, объединяют свои усилия. Грядет великая битва."
8,https://www.kinonews.ru/movie_150271/fast-i-furious-7,Дакард Шоу решает отомстить за уничтоженного Домиником и его командой брата Оуэна.
9,https://www.kinonews.ru/movie_230037/frozen-2,"Продолжение волшебной истории, рассказанной в мультфильме ""Холодное сердце"" (2013), события которой происходят в чудесной стране, населенной прекрасными принцессами, бесстрашными принцами, злыми Королевами и другими забавными персонажами..."
10,https://www.kinonews.ru/movie_116177/the-avengers-2,"Тони Старк работает над созданием новой программы - Альтрон, наделенную высочайшим искусственным интеллектом, которая должна защищать Землю от любых угроз. Но на финальном этапе происходит сбой, и теперь Альтрон считает главной угрозой - все человечество. Опасность нависла над всем миром. И только команда Мстителей может остановить чудовищную угрозу..."
11,https://www.kinonews.ru/movie_133396/black-panther,"Молодой принц африканского племени, надев маску Черной Пантеры, таинственного духа саванны, встает на защиту своей земли и своего народа, в очередной раз подвергшегося нападению со стороны вооруженного по последнему слову техники врага, охотящегося за залежами уникального метала. "
12,https://www.kinonews.ru/movie_2975/harry-potter-and-the-deathly-hallows-part-ii,"Не простое финальное сражение уготовано Гарри Поттеру, ведь ему предстоит противостоять самому Волан-де-Морту. Но для начала надо найти и уничтожить все крестражи..."
13,https://www.kinonews.ru/movie_190621/star-wars-episode-viii,"Сделав свои первые шаги в большой мир в фильме ""Звёздные войны: Пробуждение Силы"" (2015), Рей продолжает свое эпическое путешествие с Финном, По и Люком Скайуокером в очередной главе саги."
14,https://www.kinonews.ru/movie_217761/jurassic-world-2-fallen-kingdom,"Продолжение фильма ""Мир Юрского периода"", выпущенного в 2015 году. Прошло три года с тех пор, как парк ""Мир Юрского периода"" был разрушен и динозавры стали бесконтрольно жить на острове Нублар. Но теперь над древними существами нависла угроза – пробудился местный вулкан, извержение которого способно уничтожить всё живое на острове. Бывшая управляющая парком Клэр и дрессировщик велоцирапторов Оуэн отправляются в заброшенный парк, чтобы попытаться перевезти часть динозавров на другой безопасный остров."
15,https://www.kinonews.ru/movie_137172/frozen,"Юная девушка Анна и храбрый альпинист Кристоф отправляются в смертельно опасное путешествие по заснеженным горным вершинам, чтобы попытаться разрушить заклятье Снежной Королевы, обрекшей на вечную зиму жителей их королевства."
16,https://www.kinonews.ru/movie_210986/beauty-and-the-beast,"Экранизация мультфильма Диснея ""Красавица и чудовище"", в котором прекрасная юная девушка должна разрушить чары, превратившие принца в страшное и отвратительное чудовище."
17,https://www.kinonews.ru/movie_212672/the-incredibles-2,"Семейству супергероев предстоит узнать о впечатляющих способностях, которыми наделен самый младший его представитель и столкнуться с новым коварным врагом, который вынашивает изощренные злодейские планы."
18,https://www.kinonews.ru/movie_214288/furious-8,"Когда таинственная женщина вовлекла Дома в преступный мир и заставила предать его близких, команде предстоит испытание, с которым она не сталкивалась ранее."
19,https://www.kinonews.ru/movie_78554/iron-man-3,"Тони Старк должен остановить террористов, обладающих вирусом, значительно ускоряющим регенерацию тканей. Чтобы справиться со злодеями ему понадобится не один костюм Железного Человека, а целая армия."
