,url,name,year,en_name,poster_url,rating,country,genre,director,main_actors,lentgh
0,https://www.kinonews.ru/movie_796/the-lord-of-the-rings-the-return-of-the-king,Властелин колец 3: Возвращение Короля,2003,The Lord of the Rings: The Return of the King,https://www.kinonews.ru/movie_796/the-lord-of-the-rings-the-return-of-the-king,9.43,"['США', 'Новая Зеландия']","['боевик', 'приключения', 'фэнтези']",Питер Джексон,"['Элайджа Вуд', 'Орландо Блум']",201 мин
1,https://www.kinonews.ru/movie_206/terminator-2-judgment-day,Терминатор 2: Судный день,1991,Terminator 2: Judgment Day,https://www.kinonews.ru/movie_206/terminator-2-judgment-day,9.4,['США'],"['боевик', 'триллер', 'фантастика']",Джеймс Кэмерон,"['Арнольд Шварценеггер', 'Линда Хэмилтон']",137 мин
2,https://www.kinonews.ru/movie_712/the-shawshank-redemption,Побег из Шоушенка,1994,The Shawshank Redemption,https://www.kinonews.ru/movie_712/the-shawshank-redemption,9.38,['США'],['драма'],Фрэнк Дарабонт,"['Тим Роббинс', 'Морган Фриман']",142 мин
3,https://www.kinonews.ru/movie_436/forrest-gump,Форрест Гамп,1994,Forrest Gump,https://www.kinonews.ru/movie_436/forrest-gump,9.37,['США'],"['драма', 'комедия', 'мелодрама']",Роберт Земекис,"['Том Хэнкс', 'Ребекка Уильямс']",142 мин
4,https://www.kinonews.ru/movie_794/the-lord-of-the-rings-the-two-towers,Властелин колец 2: Две крепости,2002,The Lord of the Rings: The Two Towers,https://www.kinonews.ru/movie_794/the-lord-of-the-rings-the-two-towers,9.36,"['США', 'Новая Зеландия']","['боевик', 'приключения', 'фэнтези']",Питер Джексон,"['Элайджа Вуд', 'Орландо Блум']",179 мин
5,https://www.kinonews.ru/movie_793/the-lord-of-the-rings-the-fellowship-of-the-ring,Властелин колец: Братство кольца,2001,The Lord of the Rings: The Fellowship of the Ring,https://www.kinonews.ru/movie_793/the-lord-of-the-rings-the-fellowship-of-the-ring,9.29,"['США', 'Новая Зеландия']","['боевик', 'приключения', 'фэнтези']",Питер Джексон,"['Элайджа Вуд', 'Орландо Блум']",178 мин
6,https://www.kinonews.ru/movie_9939/sherlock-holms-i-doctor-vatson-sobaka-baskerviley,Шерлок Холмс и доктор Ватсон: Собака Баскервилей,1981,,https://www.kinonews.ru/movie_9939/sherlock-holms-i-doctor-vatson-sobaka-baskerviley,9.22,['СССР'],"['детектив', 'криминал', 'приключения']",Игорь Масленников,"['Василий Ливанов', 'Борислав Брондуков']",154 мин
7,https://www.kinonews.ru/movie_9946/sherlock-holms-i-doctor-vatson-znakomstvo,Шерлок Холмс и доктор Ватсон: Знакомство,1979,,https://www.kinonews.ru/movie_9946/sherlock-holms-i-doctor-vatson-znakomstvo,9.22,['СССР'],"['детектив', 'криминал', 'приключения']",Игорь Масленников,"['Василий Ливанов', 'Виталий Соломин']",67 мин
8,https://www.kinonews.ru/movie_9644/oni-srazhalis-za-rodinu,Они сражались за Родину,1975,,https://www.kinonews.ru/movie_9644/oni-srazhalis-za-rodinu,9.19,['СССР'],"['военный', 'драма', 'исторический']",Сергей Бондарчук,"['Василий Шукшин', 'Вячеслав Тихонов']",160 мин
9,https://www.kinonews.ru/movie_9945/sherlock-holms-i-doctor-vatson-krovavaya-nadpis,Шерлок Холмс и доктор Ватсон: Кровавая надпись,1979,,https://www.kinonews.ru/movie_9945/sherlock-holms-i-doctor-vatson-krovavaya-nadpis,9.19,['СССР'],"['детектив', 'криминал']",Игорь Масленников,"['Василий Ливанов', 'Борислав Брондуков']",66 мин
10,https://www.kinonews.ru/movie_5421/schindlers-list,Список Шиндлера,1993,Schindler`s List,https://www.kinonews.ru/movie_5421/schindlers-list,9.17,['США'],"['биографический', 'военный', 'драма', 'исторический']",Стивен Спилберг,"['Лиам Нисон', 'Бен Кингсли']",195 мин
11,https://www.kinonews.ru/movie_1025/titanic,Титаник,1997,Titanic,https://www.kinonews.ru/movie_1025/titanic,9.14,['США'],"['драма', 'исторический', 'мелодрама']",Джеймс Кэмерон,"['Леонардо ДиКаприо', 'Кейт Уинслет']",194 мин
12,https://www.kinonews.ru/movie_9942/sherlock-holms-i-doctor-vatson-korol-shantazha,Шерлок Холмс и доктор Ватсон: Король шантажа,1980,,https://www.kinonews.ru/movie_9942/sherlock-holms-i-doctor-vatson-korol-shantazha,9.14,['СССР'],"['детектив', 'криминал']",Игорь Масленников,"['Василий Ливанов', 'Борислав Брондуков']",63 мин
13,https://www.kinonews.ru/movie_447/the-green-mile,Зеленая миля,1999,The Green Mile,https://www.kinonews.ru/movie_447/the-green-mile,9.13,['США'],"['драма', 'криминал', 'фэнтези']",Фрэнк Дарабонт,"['Том Хэнкс', 'Дэвид Морс']",189 мин
14,https://www.kinonews.ru/movie_18766/12-angry-men,12 разгневанных мужчин,1957,12 Angry Men,https://www.kinonews.ru/movie_18766/12-angry-men,9.12,['США'],"['детектив', 'драма']",Сидни Люмет,"['Генри Фонда', 'Джек Уорден']",96 мин
15,https://www.kinonews.ru/movie_9943/sherlock-holms-i-doctor-vatson-ohota-na-tigra,Шерлок Холмс и доктор Ватсон: Охота на тигра,1980,,https://www.kinonews.ru/movie_9943/sherlock-holms-i-doctor-vatson-ohota-na-tigra,9.12,['СССР'],"['детектив', 'криминал']",Игорь Масленников,"['Василий Ливанов', 'Борислав Брондуков']",
16,https://www.kinonews.ru/movie_3520/the-godfather,Крестный отец,1972,The Godfather,https://www.kinonews.ru/movie_3520/the-godfather,9.11,['США'],"['драма', 'триллер']",Френсис Форд Коппола,"['Аль Пачино', 'Марлон Брандо']",175 мин
