,url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh
0,https://www.kinonews.ru/movie_1031/avatar,Аватар,2009,Avatar,https://www.kinonews.ru/movie_1031/avatar,9.01,$2 847 246 203,$237 000 000,['США'],"['боевик', 'драма', 'приключения', 'фантастика']",Джеймс Кэмерон,"['Сэм Уортингтон', 'Зои Солдана']",162 мин
1,https://www.kinonews.ru/movie_207321/avengers-3-part-ii,Мстители 4: Финал,2019,Avengers: Endgame,https://www.kinonews.ru/movie_207321/avengers-3-part-ii,8.16,$2 797 501 328,$356 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика', 'фэнтези']","Энтони Руссо, Джо Руссо","['Роберт Дауни мл.', 'Крис Эванс']",182 мин
2,https://www.kinonews.ru/movie_1025/titanic,Титаник,1997,Titanic,https://www.kinonews.ru/movie_1025/titanic,9.14,$2 201 647 264,$200 000 000,['США'],"['драма', 'исторический', 'мелодрама']",Джеймс Кэмерон,"['Леонардо ДиКаприо', 'Кейт Уинслет']",194 мин
3,https://www.kinonews.ru/movie_134104/star-wars-episode-vii,Звездные войны: Эпизод 7 - Пробуждение Силы,2015,Star Wars: Episode VII - The Force Awakens,https://www.kinonews.ru/movie_134104/star-wars-episode-vii,7.53,$2 069 521 700,$245 000 000,['США'],"['драма', 'приключения', 'фантастика', 'фэнтези']",Джей Джей Абрамс,"['Донал Глисон', 'Дэйзи Ридли']",136 мин
4,https://www.kinonews.ru/movie_207320/avengers-3-part-i,Мстители 3: Война бесконечности,2018,Avengers: Infinity War,https://www.kinonews.ru/movie_207320/avengers-3-part-i,8.9,$2 048 359 754,$300 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика']","Энтони Руссо, Джо Руссо","['Роберт Дауни мл.', 'Крис Хемсворт']",149 мин
5,https://www.kinonews.ru/movie_103395/jurassic-park-iv,Мир Юрского периода,2015,Jurassic World,https://www.kinonews.ru/movie_103395/jurassic-park-iv,7.48,$1 670 516 444,$150 000 000,['США'],"['приключения', 'семейный', 'фантастика']",Колин Треворроу,"['Крис Прэтт', 'Брайс Даллас Ховард']",125 мин
6,https://www.kinonews.ru/movie_257799/the-lion-king,Король лев,2019,The Lion King,https://www.kinonews.ru/movie_257799/the-lion-king,6.09,$1 667 635 327,$260 000 000,['США'],"['детский', 'драма', 'мультфильм', 'мюзикл', 'приключения', 'семейный', 'фэнтези']",Джон Фавро,"['Сет Роген', 'Дональд Гловер']",118 мин
7,https://www.kinonews.ru/movie_21145/avengers-assemble,Мстители,2012,Avengers Assemble,https://www.kinonews.ru/movie_21145/avengers-assemble,8.68,$1 518 815 515,$220 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика']",Джосс Уидон,"['Роберт Дауни мл.', 'Крис Эванс']",143 мин
8,https://www.kinonews.ru/movie_150271/fast-i-furious-7,Форсаж 7,2015,Furious 7,https://www.kinonews.ru/movie_150271/fast-i-furious-7,7.39,$1 515 341 399,$190 000 000,"['США', 'Япония']","['боевик', 'криминал', 'триллер']",Джеймс Ван,"['Вин Дизель', 'Пол Уокер']",137 мин
9,https://www.kinonews.ru/movie_230037/frozen-2,Холодное сердце 2,2019,Frozen 2,https://www.kinonews.ru/movie_230037/frozen-2,6.61,$1 450 026 933,$150 000 000,['США'],"['детский', 'комедия', 'мультфильм', 'приключения', 'семейный']","Крис Бак, Дженнифер Ли","['Кристен Белл', 'Джейсон Риттер']",103 мин
10,https://www.kinonews.ru/movie_116177/the-avengers-2,Мстители 2: Эра Альтрона,2015,Avengers: Age of Ultron,https://www.kinonews.ru/movie_116177/the-avengers-2,7.67,$1 402 809 540,$250 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика']",Джосс Уидон,"['Роберт Дауни мл.', 'Крис Хемсворт']",141 мин
11,https://www.kinonews.ru/movie_133396/black-panther,Черная пантера,2018,Black Panther,https://www.kinonews.ru/movie_133396/black-panther,6.6,$1 347 597 973,$200 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика']",Райан Куглер,"['Чэдвик Боузман', 'Майкл Б. Джордан']",134 мин
12,https://www.kinonews.ru/movie_2975/harry-potter-and-the-deathly-hallows-part-ii,Гарри Поттер и Дары смерти: Часть 2,2011,Harry Potter and the Deathly Hallows: Part 2,https://www.kinonews.ru/movie_2975/harry-potter-and-the-deathly-hallows-part-ii,8.41,$1 342 321 665,$125 000 000,"['США', 'Великобритания']","['детектив', 'драма', 'приключения', 'фэнтези']",Дэвид Йэтс,"['Донал Глисон', 'Рэйф Файнс']",130 мин
13,https://www.kinonews.ru/movie_190621/star-wars-episode-viii,Звездные войны 8: Последние джедаи,2017,Star Wars: The Last Jedi,https://www.kinonews.ru/movie_190621/star-wars-episode-viii,6.37,$1 332 698 830,$250 000 000,['США'],"['боевик', 'приключения', 'фантастика', 'фэнтези']",Райан Джонсон,"['Марк Хэмилл', 'Кэрри Фишер']",152 мин
14,https://www.kinonews.ru/movie_217761/jurassic-world-2-fallen-kingdom,Мир Юрского периода 2,2018,Jurassic World: Fallen Kingdom,https://www.kinonews.ru/movie_217761/jurassic-world-2-fallen-kingdom,6.17,$1 310 466 296,$260 000 000,['США'],"['боевик', 'приключения', 'фантастика']",Х.А. Байона,"['Брайс Даллас Ховард', 'Крис Прэтт']",128 мин
15,https://www.kinonews.ru/movie_137172/frozen,Холодное сердце,2013,Frozen,https://www.kinonews.ru/movie_137172/frozen,8.01,$1 281 508 100,$150 000 000,['США'],"['детский', 'мультфильм', 'приключения', 'семейный']","Крис Бак, Дженнифер Ли","['Кристен Белл', 'Джош Гад']",102 мин
16,https://www.kinonews.ru/movie_210986/beauty-and-the-beast,Красавица и чудовище,2017,Beauty and the Beast,https://www.kinonews.ru/movie_210986/beauty-and-the-beast,6.39,$1 264 434 525,$160 000 000,['США'],"['мелодрама', 'мюзикл', 'фэнтези']",Билл Кондон,"['Юэн МакГрегор', 'Эмма Уотсон']",129 мин
17,https://www.kinonews.ru/movie_212672/the-incredibles-2,Суперсемейка 2,2018,Incredibles 2,https://www.kinonews.ru/movie_212672/the-incredibles-2,7.58,$1 244 639 527,$200 000 000,['США'],"['детский', 'комедия', 'мультфильм', 'приключения', 'семейный']",Брэд Берд,"['Крэйг Т. Нельсон', 'Холли Хантер']",118 мин
18,https://www.kinonews.ru/movie_214288/furious-8,Форсаж 8,2017,The Fate of the Furious,https://www.kinonews.ru/movie_214288/furious-8,7.27,$1 236 005 118,$250 000 000,"['США', 'Япония', 'Франция', 'Канада', 'Американское Самоа']","['боевик', 'криминал', 'приключения']",Ф. Гэри Грей,"['Вин Дизель', 'Джейсон Стэтхэм']",136 мин
19,https://www.kinonews.ru/movie_78554/iron-man-3,Железный человек 3,2013,Iron Man 3,https://www.kinonews.ru/movie_78554/iron-man-3,8.0,$1 214 811 252,$200 000 000,['США'],"['боевик', 'кинокомикс', 'фантастика']",Шейн Блэк,"['Роберт Дауни мл.', 'Гай Пирс']",131 мин
20,https://www.kinonews.ru/movie_114781/minions,Миньоны,2015,Minions,https://www.kinonews.ru/movie_114781/minions,6.71,$1 159 444 662,$74 000 000,['США'],"['детский', 'комедия', 'мультфильм', 'семейный']","Кайл Балда, Пьер Коффен","['Сандра Баллок', 'Джон Хэмм']",91 мин
21,https://www.kinonews.ru/movie_185759/captain-america-3,Первый мститель 3: Противостояние,2016,Captain America: Civil War,https://www.kinonews.ru/movie_185759/captain-america-3,8.4,$1 153 337 496,$250 000 000,['США'],"['боевик', 'кинокомикс', 'триллер', 'фантастика']","Энтони Руссо, Джо Руссо","['Крис Эванс', 'Роберт Дауни мл.']",146 мин
22,https://www.kinonews.ru/movie_206682/aquaman,Аквамен,2018,Aquaman,https://www.kinonews.ru/movie_206682/aquaman,7.9,$1 148 485 886,$160 000 000,"['Австралия', 'США']","['боевик', 'кинокомикс', 'приключения', 'фантастика']",Джеймс Ван,"['Джейсон Момоа', 'Эмбер Херд']",143 мин
23,https://www.kinonews.ru/movie_796/the-lord-of-the-rings-the-return-of-the-king,Властелин колец 3: Возвращение Короля,2003,The Lord of the Rings: The Return of the King,https://www.kinonews.ru/movie_796/the-lord-of-the-rings-the-return-of-the-king,9.43,$1 146 030 912,$94 000 000,"['США', 'Новая Зеландия']","['боевик', 'приключения', 'фэнтези']",Питер Джексон,"['Элайджа Вуд', 'Орландо Блум']",201 мин
24,https://www.kinonews.ru/movie_251291/spider-man-homecoming-2,Человек-паук: Вдали от дома,2019,Spider-Man: Far From Home,https://www.kinonews.ru/movie_251291/spider-man-homecoming-2,7.43,$1 131 927 996,$160 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фантастика']",Джонатан Уоттс,"['Том Холланд', 'Сэмюэл Л. Джексон']",129 мин
25,https://www.kinonews.ru/movie_207318/captain-marvel,Капитан Марвел,2019,Captain Marvel,https://www.kinonews.ru/movie_207318/captain-marvel,5.95,$1 128 462 972,$152 000 000,['США'],"['боевик', 'кинокомикс', 'приключения', 'фэнтези']","Анна Боден, Райан Флек","['Бри Ларсон', 'Сэмюэл Л. Джексон']",124 мин
